strategy,mode,top_k,window_ms,bins,shrinkage,feature_dim,selected_channels,train_character_correct,train_character_accuracy,train_pr_auc,train_roc_auc,train_balanced_accuracy,test_character_correct_reference,test_character_accuracy_reference,test_predictions_reference
Top-12 channels,topk,12,0-500,12,0.03,144,"Ch20,Ch17,Ch15,Ch12,Ch14,Ch16,Ch13,Ch10,Ch18,Ch19,Ch08,Ch11",10,0.8333333333333334,0.49112238029180605,0.8158472222222223,0.7591666666666667,6,0.75,2TF5OXGM
Full channels baseline,all,,0-500,12,0.03,240,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",10,0.8333333333333334,0.48587643617561027,0.8014583333333334,0.7475,6,0.75,2BF5UXKM
Weighted channels alpha=1.5,weighted,,0-500,12,0.03,240,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",9,0.75,0.509223029077872,0.8084166666666668,0.7458333333333333,7,0.875,2TF5UXKM
Weighted channels alpha=1,weighted,,0-500,12,0.03,240,"Ch01,Ch02,Ch03,Ch04,Ch05,Ch06,Ch07,Ch08,Ch09,Ch10,Ch11,Ch12,Ch13,Ch14,Ch15,Ch16,Ch17,Ch18,Ch19,Ch20",9,0.75,0.5045186067072479,0.806861111111111,0.7441666666666666,7,0.875,2TF5UXKM
Top-16 channels,topk,16,0-500,12,0.03,192,"Ch20,Ch17,Ch15,Ch12,Ch14,Ch16,Ch13,Ch10,Ch18,Ch19,Ch08,Ch11,Ch09,Ch07,Ch04,Ch02",8,0.6666666666666666,0.5052752441305687,0.8073055555555556,0.7375,6,0.75,2BF5OXKM
Top-10 channels,topk,10,0-500,12,0.03,120,"Ch20,Ch17,Ch15,Ch12,Ch14,Ch16,Ch13,Ch10,Ch18,Ch19",8,0.6666666666666666,0.4691366509950171,0.8044861111111112,0.7475,7,0.875,2TF51XKM
Top-8 channels,topk,8,0-500,12,0.03,96,"Ch20,Ch17,Ch15,Ch12,Ch14,Ch16,Ch13,Ch10",7,0.5833333333333334,0.4162564811784669,0.786638888888889,0.7191666666666667,4,0.5,8NF51XGM
Top-6 channels,topk,6,0-500,12,0.03,72,"Ch20,Ch17,Ch15,Ch12,Ch14,Ch16",7,0.5833333333333334,0.37707848397917904,0.7664583333333334,0.6975,4,0.5,8NF51XGM
Top-4 channels,topk,4,0-500,12,0.03,48,"Ch20,Ch17,Ch15,Ch12",7,0.5833333333333334,0.3622162241896966,0.7625,0.705,5,0.625,8NF51XKM

