window_ms,start_ms,end_ms,duration_ms,bins,feature_dim,shrinkage,train_character_correct,train_character_accuracy,train_pr_auc,train_roc_auc,train_balanced_accuracy,test_character_correct_reference,test_character_accuracy_reference,test_predictions_reference
0-600,0,600,600,10,200,0.08,11,0.9166666666666666,0.496461611888376,0.8,0.7324999999999999,5,0.625,2BL5CXKM
0-500,0,480,480,8,160,auto,11,0.9166666666666666,0.48398619177053204,0.786375,0.7141666666666666,6,0.75,2NF5UXKM
0-500,0,500,500,12,240,0.03,10,0.8333333333333334,0.48587643617561027,0.8014583333333334,0.7475,6,0.75,2BF5UXKM
0-400,0,400,400,6,120,0.03,10,0.8333333333333334,0.485590143875043,0.7837361111111111,0.72,6,0.75,2TL5UXKM
0-800,0,800,800,14,280,0.08,10,0.8333333333333334,0.47389427387693434,0.7741527777777779,0.7183333333333334,5,0.625,2BL5CXKM
100-600,100,600,500,14,280,0.03,10,0.8333333333333334,0.4694276062797409,0.7689999999999999,0.7208333333333333,2,0.25,VBL5CXGA
100-400,100,400,300,6,120,0.08,9,0.75,0.47707552400760417,0.7702500000000001,0.7266666666666666,5,0.625,2TL5CXGM
150-550,150,550,400,8,160,0.03,9,0.75,0.42956200298213126,0.7678055555555554,0.7075,5,0.625,VTF5CXGM
0-300,0,300,300,6,120,0.03,8,0.6666666666666666,0.5092118298950189,0.7808194444444445,0.7116666666666667,6,0.75,2TF5O0KM
100-500,100,500,400,10,200,0.03,8,0.6666666666666666,0.4519274005501579,0.7728194444444444,0.7341666666666666,6,0.75,2TF5UXEM
150-450,150,450,300,6,120,0.03,8,0.6666666666666666,0.42840645827148166,0.7620694444444444,0.7075,7,0.875,2TF5IXGM
200-500,200,500,300,10,200,0.03,7,0.5833333333333334,0.3382754329171286,0.7222361111111112,0.6366666666666667,3,0.375,VBL5UXAM
200-600,200,600,400,14,280,0.03,5,0.4166666666666667,0.36021352675383406,0.7373888888888889,0.6683333333333333,2,0.25,VBL5UXDY
250-550,250,550,300,10,200,0.03,5,0.4166666666666667,0.303854083495941,0.6584027777777777,0.6191666666666666,3,0.375,2AL5UXBY
250-650,250,650,400,12,240,0.03,4,0.3333333333333333,0.32687177503609893,0.6861388888888889,0.635,2,0.25,VAL5UXBY
300-800,300,800,500,12,240,0.08,4,0.3333333333333333,0.2679197420094073,0.6543055555555557,0.6074999999999999,3,0.375,2BK5UXEY
300-600,300,600,300,12,240,0.03,3,0.25,0.2890766685673495,0.6465138888888888,0.5933333333333333,2,0.25,SAK5UXBY

