窗口,通道,状态,CV字符正确,事件BalAcc,事件AUC,Unknown正确,Unknown预测
0-600,all20,已完成,8/12,0.7258333333333333,0.7996666666666666,4/8,VTL5C0KM
0-600,lda_top12,已完成,7/12,0.7625,0.8397499999999999,6/8,2TF5C0KM
0-500,all20,已完成,8/12,0.725,0.8025416666666667,5/8,2BF5C4KM
0-500,lda_top12,已完成,9/12,0.7616666666666667,0.8343194444444445,7/8,2TF5CXKM
0-400,all20,已完成,9/12,0.74,0.8085694444444445,6/8,2BF5I4KM
0-400,lda_top12,已完成,7/12,0.7558333333333334,0.8278611111111112,7/8,2TF5CXKM
100-500,all20,已完成,6/12,0.7166666666666667,0.782861111111111,6/8,2TF5ILEM
100-500,lda_top12,已完成,7/12,0.7141666666666666,0.8041527777777779,6/8,2TF5CLKM
150-450,all20,已完成,5/12,0.7358333333333333,0.7817777777777778,6/8,2TL5I4KM
150-450,lda_top12,已完成,6/12,0.73,0.7856388888888889,5/8,2TL5C0KM
